State,Year,Resource Type,Consumption
 Illinois,1979,Wind,0
 Illinois,1980,Wind,0
 Illinois,1981,Wind,0
 Illinois,1982,Wind,0
 Illinois,1983,Wind,0
 Illinois,1984,Wind,0
 Illinois,1985,Wind,0
 Illinois,1986,Wind,0
 Illinois,1987,Wind,0
 Illinois,1988,Wind,0
 Illinois,1989,Wind,0
 Illinois,1990,Wind,0
 Illinois,1991,Wind,0
 Illinois,1992,Wind,0
 Illinois,1993,Wind,0
 Illinois,1994,Wind,0
 Illinois,1995,Wind,0
 Illinois,1996,Wind,0
 Illinois,1997,Wind,0
 Illinois,1998,Wind,0
 Illinois,1999,Wind,0
 Illinois,2000,Wind,0
 Illinois,2001,Wind,0
 Illinois,2002,Wind,0
 Illinois,2003,Wind,0.2
 Illinois,2004,Wind,0.8
 Illinois,2005,Wind,1.4
 Illinois,2006,Wind,2.5
 Illinois,2007,Wind,6.6
 Illinois,2008,Wind,23
 Illinois,2009,Wind,27.5
 Illinois,2010,Wind,43.4
 Illinois,2011,Wind,60.4
 Illinois,2012,Wind,73.5
 Illinois,2013,Wind,91.8
 Illinois,2014,Wind,95.9
 Illinois,2015,Wind,100.2
 Illinois,2016,Wind,98.4
Indiana,1960,Wind,0
Indiana,1965,Wind,0
Indiana,1970,Wind,0
Indiana,1971,Wind,0
Indiana,1972,Wind,0
Indiana,1973,Wind,0
Indiana,1974,Wind,0
Indiana,1975,Wind,0
Indiana,1976,Wind,0
Indiana,1977,Wind,0
Indiana,1978,Wind,0
Indiana,1979,Wind,0
Indiana,1980,Wind,0
Indiana,1981,Wind,0
Indiana,1982,Wind,0
Indiana,1983,Wind,0
Indiana,1984,Wind,0
Indiana,1985,Wind,0
Indiana,1986,Wind,0
Indiana,1987,Wind,0
Indiana,1988,Wind,0
Indiana,1989,Wind,0
Indiana,1990,Wind,0
Indiana,1991,Wind,0
Indiana,1992,Wind,0
Indiana,1993,Wind,0
Indiana,1994,Wind,0
Indiana,1995,Wind,0
Indiana,1996,Wind,0
Indiana,1997,Wind,0
Indiana,1998,Wind,0
Indiana,1999,Wind,0
Indiana,2000,Wind,0
Indiana,2001,Wind,0
Indiana,2002,Wind,0
Indiana,2003,Wind,0
Indiana,2004,Wind,0
Indiana,2005,Wind,0
Indiana,2006,Wind,0
Indiana,2007,Wind,0
Indiana,2008,Wind,2.3
Indiana,2009,Wind,13.7
Indiana,2010,Wind,28.6
Indiana,2011,Wind,31.9
Indiana,2012,Wind,30.5
Indiana,2013,Wind,33.2
Indiana,2014,Wind,33.2
Indiana,2015,Wind,42.1
Indiana,2016,Wind,45.2
Iowa,1960,Wind,0
Iowa,1965,Wind,0
Iowa,1970,Wind,0
Iowa,1971,Wind,0
Iowa,1972,Wind,0
Iowa,1973,Wind,0
Iowa,1974,Wind,0
Iowa,1975,Wind,0
Iowa,1976,Wind,0
Iowa,1977,Wind,0
Iowa,1978,Wind,0
Iowa,1979,Wind,0
Iowa,1980,Wind,0
Iowa,1981,Wind,0
Iowa,1982,Wind,0
Iowa,1983,Wind,0
Iowa,1984,Wind,0
Iowa,1985,Wind,0
Iowa,1986,Wind,0
Iowa,1987,Wind,0
Iowa,1988,Wind,0
Iowa,1989,Wind,0
Iowa,1990,Wind,0
Iowa,1991,Wind,0
Iowa,1992,Wind,0
Iowa,1993,Wind,0
Iowa,1994,Wind,0
Iowa,1995,Wind,0
Iowa,1996,Wind,0
Iowa,1997,Wind,0
Iowa,1998,Wind,0
Iowa,1999,Wind,3.3
Iowa,2000,Wind,5
Iowa,2001,Wind,5
Iowa,2002,Wind,9.3
Iowa,2003,Wind,9.9
Iowa,2004,Wind,10.5
Iowa,2005,Wind,16.5
Iowa,2006,Wind,23
Iowa,2007,Wind,27.2
Iowa,2008,Wind,40.2
Iowa,2009,Wind,72.4
Iowa,2010,Wind,89.5
Iowa,2011,Wind,104.1
Iowa,2012,Wind,133.5
Iowa,2013,Wind,148.5
Iowa,2014,Wind,155.1
Iowa,2015,Wind,166.6
Iowa,2016,Wind,185.3
Kansas,1960,Wind,0
Kansas,1965,Wind,0
Kansas,1970,Wind,0
Kansas,1971,Wind,0
Kansas,1972,Wind,0
Kansas,1973,Wind,0
Kansas,1974,Wind,0
Kansas,1975,Wind,0
Kansas,1976,Wind,0
Kansas,1977,Wind,0
Kansas,1978,Wind,0
Kansas,1979,Wind,0
Kansas,1980,Wind,0
Kansas,1981,Wind,0
Kansas,1982,Wind,0
Kansas,1983,Wind,0
Kansas,1984,Wind,0
Kansas,1985,Wind,0
Kansas,1986,Wind,0
Kansas,1987,Wind,0
Kansas,1988,Wind,0
Kansas,1989,Wind,0
Kansas,1990,Wind,0
Kansas,1991,Wind,0
Kansas,1992,Wind,0
Kansas,1993,Wind,0
Kansas,1994,Wind,0
Kansas,1995,Wind,0
Kansas,1996,Wind,0
Kansas,1997,Wind,0
Kansas,1998,Wind,0
Kansas,1999,Wind,0
Kansas,2000,Wind,0
Kansas,2001,Wind,0.4
Kansas,2002,Wind,4.7
Kansas,2003,Wind,3.7
Kansas,2004,Wind,3.6
Kansas,2005,Wind,4.3
Kansas,2006,Wind,9.8
Kansas,2007,Wind,11.4
Kansas,2008,Wind,17.3
Kansas,2009,Wind,27.9
Kansas,2010,Wind,33.2
Kansas,2011,Wind,36.1
Kansas,2012,Wind,49.4
Kansas,2013,Wind,90
Kansas,2014,Wind,103.1
Kansas,2015,Wind,102.5
Kansas,2016,Wind,130.3
Kentucky,1960,Wind,0
Kentucky,1965,Wind,0
Kentucky,1970,Wind,0
Kentucky,1971,Wind,0
Kentucky,1972,Wind,0
Kentucky,1973,Wind,0
Kentucky,1974,Wind,0
Kentucky,1975,Wind,0
Kentucky,1976,Wind,0
Kentucky,1977,Wind,0
Kentucky,1978,Wind,0
Kentucky,1979,Wind,0
Kentucky,1980,Wind,0
Kentucky,1981,Wind,0
Kentucky,1982,Wind,0
Kentucky,1983,Wind,0
Kentucky,1984,Wind,0
Kentucky,1985,Wind,0
Kentucky,1986,Wind,0
Kentucky,1987,Wind,0
Kentucky,1988,Wind,0
Kentucky,1989,Wind,0
Kentucky,1990,Wind,0
Kentucky,1991,Wind,0
Kentucky,1992,Wind,0
Kentucky,1993,Wind,0
Kentucky,1994,Wind,0
Kentucky,1995,Wind,0
Kentucky,1996,Wind,0
Kentucky,1997,Wind,0
Kentucky,1998,Wind,0
Kentucky,1999,Wind,0
Kentucky,2000,Wind,0
Kentucky,2001,Wind,0
Kentucky,2002,Wind,0
Kentucky,2003,Wind,0
Kentucky,2004,Wind,0
Kentucky,2005,Wind,0
Kentucky,2006,Wind,0
Kentucky,2007,Wind,0
Kentucky,2008,Wind,0
Kentucky,2009,Wind,0
Kentucky,2010,Wind,0
Kentucky,2011,Wind,0
Kentucky,2012,Wind,0
Kentucky,2013,Wind,0
Kentucky,2014,Wind,0
Kentucky,2015,Wind,0
Kentucky,2016,Wind,0
Louisiana,1960,Wind,0
Louisiana,1965,Wind,0
Louisiana,1970,Wind,0
Louisiana,1971,Wind,0
Louisiana,1972,Wind,0
Louisiana,1973,Wind,0
Louisiana,1974,Wind,0
Louisiana,1975,Wind,0
Louisiana,1976,Wind,0
Louisiana,1977,Wind,0
Louisiana,1978,Wind,0
Louisiana,1979,Wind,0
Louisiana,1980,Wind,0
Louisiana,1981,Wind,0
Louisiana,1982,Wind,0
Louisiana,1983,Wind,0
Louisiana,1984,Wind,0
Louisiana,1985,Wind,0
Louisiana,1986,Wind,0
Louisiana,1987,Wind,0
Louisiana,1988,Wind,0
Louisiana,1989,Wind,0
Louisiana,1990,Wind,0
Louisiana,1991,Wind,0
Louisiana,1992,Wind,0
Louisiana,1993,Wind,0
Louisiana,1994,Wind,0
Louisiana,1995,Wind,0
Louisiana,1996,Wind,0
Louisiana,1997,Wind,0
Louisiana,1998,Wind,0
Louisiana,1999,Wind,0
Louisiana,2000,Wind,0
Louisiana,2001,Wind,0
Louisiana,2002,Wind,0
Louisiana,2003,Wind,0
Louisiana,2004,Wind,0
Louisiana,2005,Wind,0
Louisiana,2006,Wind,0
Louisiana,2007,Wind,0
Louisiana,2008,Wind,0
Louisiana,2009,Wind,0
Louisiana,2010,Wind,0
Louisiana,2011,Wind,0
Louisiana,2012,Wind,0
Louisiana,2013,Wind,0
Louisiana,2014,Wind,0
Louisiana,2015,Wind,0
Louisiana,2016,Wind,0
Maine,1960,Wind,0
Maine,1965,Wind,0
Maine,1970,Wind,0
Maine,1971,Wind,0
Maine,1972,Wind,0
Maine,1973,Wind,0
Maine,1974,Wind,0
Maine,1975,Wind,0
Maine,1976,Wind,0
Maine,1977,Wind,0
Maine,1978,Wind,0
Maine,1979,Wind,0
Maine,1980,Wind,0
Maine,1981,Wind,0
Maine,1982,Wind,0
Maine,1983,Wind,0
Maine,1984,Wind,0
Maine,1985,Wind,0
Maine,1986,Wind,0
Maine,1987,Wind,0
Maine,1988,Wind,0
Maine,1989,Wind,0
Maine,1990,Wind,0
Maine,1991,Wind,0
Maine,1992,Wind,0
Maine,1993,Wind,0
Maine,1994,Wind,0
Maine,1995,Wind,0
Maine,1996,Wind,0
Maine,1997,Wind,0
Maine,1998,Wind,0
Maine,1999,Wind,0
