Year,user_id,tweet,features__name,features__id,features__screen_name,features__tweets,features__location,features__primary_geo,features__geo_type,state
2018,1348379911,Hydrogen as a fuel has been on the fringes for about a century. Can it take over from fossil fuels? Here’s an inter… https://t.co/jbpO1L8Cs2,Erik Lindberg,1348379911,ErikLindy,3,"Saskatchewan, Canada","Saskatchewan, Canada",User location,
2018,2466017813,"RT @SenSanders: The fossil fuel industry is now the equivalent of the tobacco industry. It creates death and destruction, and then spends b…",Lʏռ'°,2466017813,ASJ4Y,1,ácido clorhídrico,ácido clorhídrico,User location,
2018,1573918574,"RT @MikeHudema: Every year, governments worldwide spend $425B subsidizing fossil fuels, 5x more than they spend on #renewableenergy: https:…",Samidog,1573918574,Nihilon45,1,"Australia, UK, NZ, Eire etc etc","Australia, UK, NZ, Eire etc etc",User location,
2018,9.49E+17,RT @TorontoStar: “It’s not just a dream that one day you’ll be able to farm without fossil fuels. It’s real. It’s here.”\n\nMore on this Onta…,cathycol54,9.49E+17,cathycol54gmai1,1,Canada,Canada,User location,
2018,89974058,"RT @SenSanders: The fossil fuel industry is now the equivalent of the tobacco industry. It creates death and destruction, and then spends b…",Maria A. Cabrera Arus,89974058,cubamaterial,1,"Weehawken, New Jersey","Weehawken, New Jersey",User location,New Jersey
2018,1724009653,"RT @SenSanders: The fossil fuel industry is now the equivalent of the tobacco industry. It creates death and destruction, and then spends b…",Chad,1724009653,Chad_813,1,"Tampa, FL","Tampa, FL",User location, Florida
2018,7.22E+17,"RT @SenSanders: The fossil fuel industry is now the equivalent of the tobacco industry. It creates death and destruction, and then spends b…","Phoenix, Apprentice of the Kirin Tor",7.22E+17,FireMagePhoenix,1,Aboard a ship in Kul Tiras,Aboard a ship in Kul Tiras,User location,
2018,22530468,"RT @SenSanders: The fossil fuel industry is now the equivalent of the tobacco industry. It creates death and destruction, and then spends b…",Gnawme,22530468,NormEvangelista,1,"Downey, CA, USA","Downey, CA, USA",User location, California
2018,202989758,"RT @SenSanders: The fossil fuel industry is now the equivalent of the tobacco industry. It creates death and destruction, and then spends b…",Rafael Lara,202989758,fiuski1980,1,Sevilla,Sevilla,User location,
2018,814103288,"RT @SenSanders: The fossil fuel industry is now the equivalent of the tobacco industry. It creates death and destruction, and then spends b…",mamaji🇺🇸🇨🇦🇩🇪🇮🇳,814103288,Gp_mamaji,1,Northern California (CA04),Northern California (CA04),User location,
2018,75105784,"RT @SenSanders: The fossil fuel industry is now the equivalent of the tobacco industry. It creates death and destruction, and then spends b…",YizzleXØ.,75105784,_yasminiqbal,1,"Thunder Bay, Ontario","Thunder Bay, Ontario",User location,
2018,174435595,"RT @SenSanders: The fossil fuel industry is now the equivalent of the tobacco industry. It creates death and destruction, and then spends b…",Smokey McPot,174435595,xVynceD,1,"Tucson, AZ","Tucson, AZ",User location, Arizona
2018,2974085211,"RT @SenSanders: The fossil fuel industry is now the equivalent of the tobacco industry. It creates death and destruction, and then spends b…",Dr Rebecca Reynolds,2974085211,dr_reynolds1,1,Wheeling Illinois,Wheeling Illinois,User location, Illinois
2018,300423217,"RT @SenSanders: The fossil fuel industry is now the equivalent of the tobacco industry. It creates death and destruction, and then spends b…",Carly 🇵🇸,300423217,Carly_Ford,1,"Bristol, England","Bristol, England",User location,
2018,155705264,"RT @SenSanders: The fossil fuel industry is now the equivalent of the tobacco industry. It creates death and destruction, and then spends b…",Zedd,155705264,Zedd,1,LA / Germany,LA / Germany,User location,
2018,9.21E+17,"@alisajoy331 @CNN I hate fossil fuels.  Electric cars, solar, wind is whats needed.",Tenacious-TEAH.,9.21E+17,TeahCartel,1,Sitting on Uranus.,Sitting on Uranus.,User location,
2018,412100797,"RT @SenSanders: The fossil fuel industry is now the equivalent of the tobacco industry. It creates death and destruction, and then spends b…",billie mac arthur,412100797,billiemacarthur,1,Planet Earth,Planet Earth,User location,
